A,B,C,D,E,F,G,H
v40,B108,c17,v48,E107,f00029,G0387,h10
v24,B081,c08,v21,E108,f00038,G0653,h09
v03,B042,c24,v42,E090,f00032,G0432,h03
v05,B096,c23,v36,E158,f00049,G0865,h05
v14,B007,c19,v07,E012,f00006,G0118,h14
v35,B085,c06,v25,E173,f00018,G0331,h05
v20,B041,c17,v41,E119,f00014,G0257,h05
v34,B005,c05,v05,E062,f00043,G0270,h04
v24,B054,c18,v54,E140,f00019,G0294,h09
v08,B078,c17,v18,E167,f00009,G0155,h08
v12,B035,c05,v35,E118,f00005,G0096,h12
v25,B035,c05,v35,E017,f00014,G0216,h10
v33,B000,c00,v00,E070,f00059,G0759,h03
v41,B093,c02,v33,E086,f00004,G0090,h11
v14,B048,c06,v48,E163,f00046,G0708,h14
v02,B092,c25,v32,E042,f00014,G0333,h02
v44,B027,c09,v27,E096,f00056,G0856,h14
v02,B106,c03,v46,E042,f00040,G0691,h02
v24,B116,c13,v56,E154,f00058,G0980,h09
v18,B106,c03,v46,E168,f00050,G0663,h03
v19,B003,c21,v03,E045,f00035,G0199,h04
v44,B067,c00,v07,E105,f00042,G0634,h14
v41,B081,c08,v21,E067,f00014,G0174,h11
v43,B067,c00,v07,E088,f00026,G0430,h13
v22,B095,c16,v35,E137,f00028,G0438,h07
v21,B070,c21,v10,E019,f00021,G0485,h06
v08,B084,c29,v24,E124,f00005,G0112,h08
v06,B042,c24,v42,E081,f00013,G0306,h06
v25,B047,c29,v47,E017,f00028,G0384,h10
v10,B044,c08,v44,E164,f00015,G0218,h10
v20,B100,c21,v40,E010,f00023,G0381,h05
v13,B044,c08,v44,E104,f00034,G0532,h13
v30,B017,c29,v17,E011,f00038,G0720,h00
v00,B077,c10,v17,E039,f00053,G0926,h00
v11,B109,c24,v49,E136,f00052,G0614,h11
v11,B006,c12,v06,E136,f00000,G0006,h11
v44,B106,c03,v46,E094,f00013,G0182,h14
v44,B098,c07,v38,E094,f00022,G0364,h14
v12,B024,c18,v24,E089,f00061,G0920,h12
v16,B083,c22,v23,E113,f00024,G0526,h01
v43,B083,c22,v23,E138,f00005,G0100,h13
v11,B055,c25,v55,E155,f00018,G0228,h11
v37,B014,c08,v14,E103,f00033,G0543,h07
v18,B034,c28,v34,E082,f00025,G0400,h03
v38,B116,c13,v56,E116,f00034,G0604,h08
v02,B012,c24,v12,E042,f00001,G0012,h02
v24,B096,c23,v36,E108,f00048,G0824,h09
v15,B046,c22,v46,E033,f00034,G0683,h00
v38,B111,c08,v51,E048,f00032,G0589,h08
v20,B006,c12,v06,E038,f00025,G0465,h05
v27,B058,c16,v58,E077,f00047,G0655,h12
v28,B020,c20,v20,E014,f00008,G0121,h13
v31,B028,c16,v28,E085,f00052,G0915,h01
v33,B103,c12,v43,E075,f00055,G0693,h03
v23,B106,c03,v46,E073,f00041,G0670,h08
v12,B102,c05,v42,E118,f00021,G0289,h12
v34,B071,c28,v11,E106,f00059,G0469,h04
v40,B110,c01,v50,E080,f00054,G0898,h10
